Apple iPhone 5	64GB - Black & Slate - Sprint*delim*32GB - White & Silver - Sprint*delim*32GB - Black & Slate - Sprint*delim*32GB - White & Silver - Verizon*delim*64GB - White & Silver - Sprint*delim*16GB - Black & Slate - Sprint*delim*16GB - White & Silver - Sprint*delim*64GB - White & Silver - AT&T*delim*64GB - White & Silver - Verizon*delim*64GB - Black & Slate - Verizon*delim*64GB - Black & Slate - AT&T	225*delim*224*delim*174*delim*250*delim*225*delim*179*delim*179*delim*278*delim*300*delim*171*delim*167	http://assets1.glyde.com/static/6BC8CC41F09A3AC53A783B922236D4E27D71A662/images/phones/96x200/12068931p.jpg*delim*http://assets1.glyde.com/static/954B7BDF2A7E30F8E79CCFB915F6C34921C7D85A/images/phones/96x200/12068940p.jpg*delim*http://assets3.glyde.com/static/2E474B457EC1F2088ED4FD3A4F3A3284F73B79A8/images/phones/96x200/12068937p.jpg*delim*http://assets2.glyde.com/static/9FB95D5BDDEE02FFD785C2E2E3438E9F25FDE884/images/phones/96x200/12068936p.jpg*delim*http://assets0.glyde.com/static/B97D31CDB4D350994849E1CF0DD4E1FDAA2A8F40/images/phones/96x200/12068930p.jpg*delim*http://assets1.glyde.com/static/0A75BDB96FD99FC8379AA817D85F2E2768D6C28C/images/phones/107x200/12077390p.jpg*delim*http://assets0.glyde.com/static/A95EFF925A7648EAB7D9FC773158EA4BA75F5EB3/images/phones/105x200/12065385p.jpg*delim*http://assets3.glyde.com/static/6D17FE97613F0A2BB27148CCF019D3851B8B1F93/images/phones/105x200/12065397p.jpg*delim*http://assets2.glyde.com/static/D5E4E2524C4989EE4B8D739AF4704109A12FED39/images/phones/105x200/12065396p.jpg*delim*http://assets0.glyde.com/static/0F5C809B84E8352BC75296607B85BD36127C8892/images/phones/105x200/12065389p.jpg*delim*http://assets3.glyde.com/static/870A3E2471B8C57784EB7EBCD862D37C25EF9D47/images/phones/105x200/12065393p.jpg
Apple iPhone 5C	32GB - Green - Sprint*delim*16GB - Green - Sprint*delim*32GB - White - Sprint*delim*8GB - Pink - T-Mobile*delim*8GB - Green - T-Mobile	299*delim*239*delim*274*delim*199*delim*199	http://assets3.glyde.com/static/4FE5DBDC317B00B8A5932A79137D5E01ECB6C408/images/phones/95x200/12076265p.jpg*delim*http://assets1.glyde.com/static/14F77B83F7F954CF26AB956D9C24C4324527504D/images/phones/96x200/12076321p.jpg*delim*http://assets1.glyde.com/static/2E724F8C9034AD06B36C4579155361ED96E0934C/images/phones/95x200/12076276p.jpg*delim*http://assets3.glyde.com/static/0E414E59EC92AAFDAAA714FD768A82BD9EEE34BD/images/phones/96x200/12076305p.jpg*delim*http://assets2.glyde.com/static/432C74D62E3F6DF729110B45AB26411C288B9484/images/phones/96x200/12076290p.jpg
Apple iPhone 5C	32GB - Green - Verizon*delim*8GB - Green - Verizon*delim*16GB - Pink - AT&T*delim*16GB - Pink - Sprint*delim*16GB - Green - T-Mobile*delim*8GB - Blue - Verizon*delim*16GB - White - T-Mobile*delim*16GB - Blue - Sprint*delim*8GB - Blue - AT&T	235*delim*175*delim*165*delim*179*delim*229*delim*175*delim*181*delim*179*delim*179	http://assets1.glyde.com/static/C6ADD241856BBEE2D5F0C9AED2E9B42F9B7412F2/images/phones/96x200/12076297p.jpg*delim*http://assets2.glyde.com/static/D72A28CBBE931BE4C0AC672D9C5FA5D4814FB094/images/phones/96x200/12078166p.jpg*delim*http://assets1.glyde.com/static/D33AA645A767988956D4F39947C1536E2C4365F0/images/phones/96x200/12076316p.jpg*delim*http://assets2.glyde.com/static/89E8DF0643C211F05040A29348738CC5A65BD502/images/phones/96x200/12076298p.jpg*delim*http://assets2.glyde.com/static/55C90C48A9C6CD23A5A57C9D46785690A3DDF744/images/phones/96x200/12078162p.jpg*delim*http://assets0.glyde.com/static/CF3F2CAEE5EC40ABB5E32A019C9D98A7C8B5FE4E/images/phones/96x200/12076306p.jpg*delim*http://assets0.glyde.com/static/8B301214D2BB15BA264A29B17B5CAA1FE10CF6CD/images/phones/96x200/12078160p.jpg*delim*http://assets2.glyde.com/static/609E2F5E29E6DA21A01D077CCA92E90978C10C74/images/phones/95x200/12076259p.jpg*delim*http://assets0.glyde.com/static/53A855DD0EDDD6F26E6E1B77A990E3D48F8825ED/images/phones/95x200/12076253p.jpg
Apple iPhone 5C	16GB - Yellow - Verizon	170	http://assets0.glyde.com/static/D534C9BE7F9B2D2BD8D60CFD655FE2C3E36FE2C9/images/phones/96x200/12078177p.jpg
Apple iPhone 5C	8GB - Pink - Sprint*delim*8GB - White - Sprint	175*delim*142	http://assets0.glyde.com/static/24FF908CB79751076F37E70FB98187703FF17346/images/phones/95x200/12076275p.jpg*delim*http://assets0.glyde.com/static/288535A78516D09D07565653CA91C62B26A15FD4/images/phones/96x200/12076292p.jpg
Apple iPhone 5C	16GB - Pink - Verizon	170	http://assets3.glyde.com/static/8EFEEAE38E0DBB869721BAB248ACA7392D2E660E/images/phones/96x200/12078176p.jpg
Apple iPhone 5C	8GB - White - Verizon*delim*16GB - Green - AT&T	169*delim*200	http://assets0.glyde.com/static/CFB50980C424DEFCF4D00D524CD211BECF7E8323/images/phones/95x200/12076257p.jpg*delim*http://assets3.glyde.com/static/B3666E1505CFB094EFE91BADC9D342540967D56F/images/phones/95x200/12076252p.jpg
Apple iPhone 5C	8GB - Pink - AT&T*delim*8GB - White - AT&T*delim*16GB - Blue - Verizon	161*delim*145*delim*189	http://assets0.glyde.com/static/5482BA7C1CD823CE5E02498FC138D0D704CB4120/images/phones/96x200/12078164p.jpg*delim*http://assets2.glyde.com/static/1A64ABF9526464E5B66AC14A0234B1E4BCA2639B/images/phones/96x200/12076308p.jpg*delim*http://assets2.glyde.com/static/C3E5EDB60914BEAB2FEB8EE1CD414787A2CD0EB7/images/phones/95x200/12076260p.jpg
Apple iPhone 5C	8GB - Green - AT&T*delim*16GB - Yellow - AT&T*delim*16GB - White - Verizon	145*delim*165*delim*161	http://assets3.glyde.com/static/3C5FAFB677DC2523373BC6EEEFCD750CA5161311/images/phones/95x200/12076261p.jpg*delim*http://assets0.glyde.com/static/6D9632CD0B6B494693FDDDBECF80761296E163F2/images/phones/95x200/12076262p.jpg*delim*http://assets1.glyde.com/static/922ED4879719721DD0F9842DAC020D289E80DC20/images/phones/95x200/12076272p.jpg
Apple iPhone 5C	16GB - Green - Verizon*delim*16GB - White - AT&T	170*delim*149	http://assets0.glyde.com/static/DB8F410A7412DFA878339FA32EF5714AEE5B9B20/images/phones/102x200/12076351p.jpg*delim*http://assets0.glyde.com/static/91BFD40AE60D778517012AD0BFD653C64D2D9445/images/phones/106x200/12077493p.jpg
