announced_date	battery	camera	current_status	dimensions	display_inches	image	is_Touch	memory	os	phone_model	processor	ram	resolution	url	weight
25-Sep-13						http://i-cdn.phonearena.com/images/phones/42940-specs/Amazon-Kindle-Fire-HDX-8.9.jpg		16 GB	 Android (4.2.2) Fire OS 3.0 UI	Amazon Kindle Fire HDX 8.9	" Quad-core, 2200 MHz, Krait 400"	2048 MB 		http://www.phonearena.com/phones/Amazon-Kindle-Fire-HDX-8.9_id8156	
25-Sep-13			Released	 7.32 x 5.04 x 0.35 inches	 7.0 inches	http://i-cdn.phonearena.com/images/phones/42944-specs/Amazon-Kindle-Fire-HDX-7.jpg	 Multi-touch		 Android (4.2.2) Fire OS 3.0 UI	Amazon Kindle Fire HDX 7			 1920 x 1200 pixels	http://www.phonearena.com/phones/Amazon-Kindle-Fire-HDX-7_id8158	311 g
25-Sep-13			Released			http://i-cdn.phonearena.com/images/phones/42943-specs/Amazon-Kindle-Fire-HD-2013.jpg			 Android (4.2.2) Fire OS 3.0 UI	Amazon Kindle Fire HD (2013)				http://www.phonearena.com/phones/Amazon-Kindle-Fire-HD-2013_id8157	
17-Sep-14			Released	 9.1 x 6.2 x 0.3 inches	 8.9 inches	http://i-cdn.phonearena.com/images/phones/49054-specs/Amazon-Fire-HDX-8.9.jpg	" Multi-touch Features: Light sensor Camera Camera: 8 megapixels Flash: LED Aperture size: Aperture size - The aperture of a camera is the opening through which light travels before it reaches the camera sensor. The smaller the number is, the bigger this opening is, allowing for more light to pass. F2.2 Features: Digital image stabilization Shooting Modes: High Dynamic Range mode (HDR), Panorama Camcorder: 1920x1080 (1080p HD) Features: Video calling Front-facing camera: Yes Hardware System chip: System chip - Most modern handsets use an advanced chip that includes many of the device‰Ûªs hardware modules like the processor, Wi-Fi, Bluetooth and sometimes even the wireless radio. This field shows what particular system chip (or System-on-a-Chip) is used in the phone. Qualcomm Snapdragon 805 APQ8084 Processor: Processor - The processor is the main computing component of a phone and is a major factor when it comes to the overall speed of the device. Some more powerful smartphones use dual-core and quad-core processors designed to deliver greater performance. Quad-core, 2500 MHz, Krait 450 Graphics processor: Adreno 420 Blaze System memory: System memory - System memory, or RAM memory is the type of memory that the device uses to temporarily store data from the OS or currently-running apps. The more RAM available to the device, the better the performance will be when multiple or heavier programs are running. 2048 MB RAM Built-in storage: 64 GB Maximum User Storage: 54.3 GB Multimedia Music player: Filter by: Album, Artist, Playlists Features: Album art cover, Background playback, Dolby Digital Plus Speakers: Stereo speakers YouTube player: Yes Internet browsing Built-in online services support: Facebook, YouTube (upload), Picasa/Google+, Twitter Technology Data: LTE, HSPA (unspecified), EDGE, GPRS Positioning: Positioning - This field shows the positioning systems supported by the device. There are three main types: GPS, A-GPS and GLONASS. GPS - This is one of the most widespread global positioning technologies, developed and maintained by the U.S. government. It uses satellites in order to detect your location. Works best in clear weather. A-GPS - A-GPS stands for Assisted GPS and is the industry standard for positioning and navigation. ‰ÛÏAssisted‰Ûù means that it can use local wireless networks, in addition to satellites, for quicker and more precise localization. GLONASS - GLONASS is a global positioning system, developed by the Russian Federation. It‰Ûªs very similar to GPS, but isn‰Ûªt so popular in cell phones. GPS, A-GPS, Wi-Fi positioning"		 Android (4.4) Fire OS 4 UI	Amazon Fire HDX 8.9			 2560 x 1600 pixels	http://www.phonearena.com/phones/Amazon-Fire-HDX-8.9_id8925	389 g
17-Sep-14			Released			http://i-cdn.phonearena.com/images/phones/49180-specs/Amazon-Fire-HD-7.jpg			 Android (4.4) Fire OS 4 UI	Amazon Fire HD 7				http://www.phonearena.com/phones/Amazon-Fire-HD-7_id8927	
17-Sep-14			Released			http://i-cdn.phonearena.com/images/phones/49183-specs/Amazon-Fire-HD-6.jpg			 Android (4.4) Fire OS 4 UI	Amazon Fire HD 6				http://www.phonearena.com/phones/Amazon-Fire-HD-6_id8928	
17-Sep-15			Released	 10.31 x 6.26 x 0.30 inches	 10.1 inches	http://i-cdn.phonearena.com/images/phones/55349-specs/Amazon-Fire-HD-10.jpg			 Android (5.0) Fire OS 5 UI	Amazon Fire HD 10			 1280 x 800 pixels	http://www.phonearena.com/phones/Amazon-Fire-HD-10_id9653	432 g
17-Sep-15			Released	 7.52 x 4.53 x 0.42 inches	 7.0 inches	http://i-cdn.phonearena.com/images/phones/55340-specs/Amazon-Fire.jpg			 Android (5.0) Fire OS 5 UI	Amazon Fire			 600 x 1024 pixels	http://www.phonearena.com/phones/Amazon-Fire_id9651	313 g
17-Sep-15			Released	 8.43 x 5.04 x 0.30 inches	 8.0 inches	http://i-cdn.phonearena.com/images/phones/55344-specs/Amazon-Fire-HD-8.jpg			 Android (5.0) Fire OS 5 UI	Amazon Fire HD 8			 800 x 1280 pixels	http://www.phonearena.com/phones/Amazon-Fire-HD-8_id9652	311 g
14-Feb-11				 9.80 x 6.61 x 0.51 inches	 10.1 inches	http://i-cdn.phonearena.com/images/phones/26932-specs/Motorola-XOOM.jpg			" Android (4.0, 3.2, 3.1, 3.0)"	Motorola XOOM				http://www.phonearena.com/phones/Motorola-XOOM_id5221	730 g
