phone_model,tipstrickslink,review
 Nokia Lumia 900,http://www.phonetipsandtricks.com/tips/nokia-lumia-900/,YJaZ2GZt4Aw?list=PLD228B91CC610B805
 Nokia Lumia 710,http://www.phonetipsandtricks.com/tips/nokia-lumia-710/,WjZH_Pt7H0w?list=PLD228B91CC610B805
 Nokia E7,http://www.phonetipsandtricks.com/tips/nokia-e7/,QcMrxnFWJes?list=PLD228B91CC610B805
 Samsung Galaxy S5,http://www.phonetipsandtricks.com/tips/samsung-galaxy-s5/,z8gOX35dAfc?list=PLBsP89CPrMeNm71T5gYC6jebm9vPbLBiP
 Samsung Galaxy S4 Zoom,http://www.phonetipsandtricks.com/tips/samsung-galaxy-s4-zoom/,pllXZO-qLaQ?list=PLD228B91CC610B805
 Samsung Galaxy S4,http://www.phonetipsandtricks.com/tips/samsung-galaxy-s4/,rYrWCk50a-Q?list=PLD228B91CC610B805
 Samsung Galaxy Mega,http://www.phonetipsandtricks.com/tips/samsung-galaxy-mega/,zb5Wp_i8oQo?list=PLBsP89CPrMeNm71T5gYC6jebm9vPbLBiP
 HTC One M8,http://www.phonetipsandtricks.com/tips/htc-one-m8/,MFmJZND8Qy4?list=PLD228B91CC610B805
 HTC One,http://www.phonetipsandtricks.com/tips/htc-one/,KF75-HPdUfY?list=PLBsP89CPrMeNm71T5gYC6jebm9vPbLBiP
 HTC One SV,http://www.phonetipsandtricks.com/tips/htc-one-sv/,oIa8AmnAJmM?list=PLD228B91CC610B805
 HTC One Max,http://www.phonetipsandtricks.com/tips/htc-one-max/,2dDDWZH9rRE?list=PLD228B91CC610B805
 HTC Desire 610,http://www.phonetipsandtricks.com/tips/htc-desire-610/,tfTZ5aWwAXk?list=PLD228B91CC610B805
 Motorola Droid Ultra,http://www.phonetipsandtricks.com/tips/motorola-droid-ultra/,ABq1qm1gZpE?list=PLD228B91CC610B805
 Motorola Moto G,http://www.phonetipsandtricks.com/tips/motorola-moto-g/,KFD0Nm2dOHw?list=PLBsP89CPrMeNm71T5gYC6jebm9vPbLBiP
 Motorola Droid Turbo,http://www.phonetipsandtricks.com/tips/motorola-droid-turbo/,26C_O6hDMjQ?list=PLBsP89CPrMeNm71T5gYC6jebm9vPbLBiP
 Samsung Galaxy Note 2,http://www.phonetipsandtricks.com/tips/samsung-galaxy-note-2/,VdsMwGWvhO4?list=PLBsP89CPrMeNm71T5gYC6jebm9vPbLBiP
 Sony Xperia Z1,http://www.phonetipsandtricks.com/tips/sony-xperia-z1/,hUgOgMCKXqs?list=PLBsP89CPrMeNm71T5gYC6jebm9vPbLBiP
 HTC One M9,http://www.phonetipsandtricks.com/tips/htc-one-m9/,eYENVZFDqWk?list=PLD228B91CC610B805
 HTC One E8,http://www.phonetipsandtricks.com/tips/htc-one-e8/,z3OT9-Uylh8?list=PLD228B91CC610B805
 Motorola Droid RAZR MAXX,http://www.phonetipsandtricks.com/tips/motorola-droid-razr-maxx/,BCzn8SZMEaw?list=PLD228B91CC610B805
 Motorola Droid RAZR,http://www.phonetipsandtricks.com/tips/motorola-droid-razr/,ATkojRcew2A?list=PLD228B91CC610B805
 Motorola Droid Razr M,http://www.phonetipsandtricks.com/tips/motorola-droid-razr-m/,eB4x_ZS2D9Y?list=PLD228B91CC610B805
 Motorola Moto X,http://www.phonetipsandtricks.com/tips/motorola-moto-x/,CJTlB_S7ct0?list=PLBsP89CPrMeNm71T5gYC6jebm9vPbLBiP
 Blackberry Bold 9900 / 9930,http://www.phonetipsandtricks.com/tips/blackberry-bold-9900-9930/,Wwzor4bry9I?list=PLD228B91CC610B805
 Asus ZenFone 2Link,http://www.phonetipsandtricks.com/tips/asus-zenfone-2/,yJr9fPU6GeM?list=PLD228B91CC610B805
 Google Nexus 6Link,http://www.phonetipsandtricks.com/tips/google-nexus-6/,RoAPTdvgAJg?list=PLBsP89CPrMeNm71T5gYC6jebm9vPbLBiP
 Samsung Focus Flash,http://www.phonetipsandtricks.com/tips/samsung-focus-flash-omnia-w/,_nkSD4njXH4?list=PLD228B91CC610B805
 Nokia Lumia 800,http://www.phonetipsandtricks.com/tips/nokia-lumia-800/,6_e-8pMFdpo?list=PLD228B91CC610B805
 HTC HD7,http://www.phonetipsandtricks.com/tips/htc-hd7/,Y_buRDrc9D0?list=PLD228B91CC610B805
 HTC Evo 4G,http://www.phonetipsandtricks.com/tips/htc-evo-4g/,chaTFU-9h84?list=PLD228B91CC610B805
 HTC One M8 EYE,http://www.phonetipsandtricks.com/tips/htc-one-m8-eye/,pwsPZi_JRrA?list=PLBsP89CPrMeNm71T5gYC6jebm9vPbLBiP
 Motorola Photon,http://www.phonetipsandtricks.com/tips/motorola-photon-4g-electrify/,jeJTqACKc2o?list=PLD228B91CC610B805
 Google Nexus 7 (tablet),http://www.phonetipsandtricks.com/tips/google-nexus-7-tablet/,YddnWW_JYiY?list=PLBsP89CPrMeNm71T5gYC6jebm9vPbLBiP
 HTC Amaze 4G / Ruby,http://www.phonetipsandtricks.com/tips/htc-amaze-4g-ruby/,riwmkkRVLeU?list=PLD228B91CC610B805
 HTC One X Plus,http://www.phonetipsandtricks.com/tips/htc-one-x-plus/,NnyLRAk6v2E?list=PLD228B91CC610B805
 Motorola Droid 3,http://www.phonetipsandtricks.com/tips/motorola-droid-3/,qcp6cia_7QI?list=PLD228B91CC610B805
 Sony Xperia Z1,http://www.phonetipsandtricks.com/tips/sony-xperia-z1-compact/,JjLn_gXDZ6M?list=PLD228B91CC610B805
 Nokia N900,http://www.phonetipsandtricks.com/tips/nokia-n900/,Arn02csQAwM?list=PLD228B91CC610B805
 LG Optimus 2X,http://www.phonetipsandtricks.com/tips/lg-optimus-2x/,Y_Uus_9mflg?list=PLD228B91CC610B805
 HTC HD2,http://www.phonetipsandtricks.com/tips/htc-hd2/,neQ_iFf4s2Y?list=PLD228B91CC610B805
 Nokia N97,http://www.phonetipsandtricks.com/tips/nokia-n97/,_fMY1TOo2WY?list=PLD228B91CC610B805
